Contract_Address,Symbol,Type,Decimals
0x6b175474e89094c44da98b954eedeac495271d0f,DAI,Hybrid,18
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,Fiat-backed,6
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Fiat-backed,6
0x853d955acef822db058eb8505911ed77f175b99e,FRAX,Hybrid,18
0x4fabb145d64652a948d72533023f6e7a623c7c53,BUSD,Fiat-backed,18
0x8e870d67f660d95d5be530380d0ec0bd388289e1,USDP,Fiat-backed,18
0x6c3ea9036406852006290770bedfcaba0e23a0e8,PYUSD,Fiat-backed,6
0x5f98805a4e8be255a32880fdec7f6728c6568ba0,LUSD,Crypto-backed,18
0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,MIM,Crypto-backed,18
0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,Crypto-backed,18
